"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Ceftobiprole","GN_antibiotics_oshea","135413542","C1CNC[C@@H]1N2CC/C(=C\C3=C(N4[C@@H]([C@@H](C4=O)NC(=O)/C(=N\O)/C5=NSC(=N5)N)SC3)C(=O)O)/C2=O","209467-52-7",534.6,TRUE
"Iclaprim","GN_antibiotics_oshea","213043","COC1=C(C2=C(C=CC(O2)C3CC3)C(=C1)CC4=CN=C(N=C4N)N)OC","192314-93-5",354.4,TRUE
"Trimethoprim","GN_antibiotics_oshea","5578","COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N","738-70-5",290.32,TRUE
"Nalidixic acid","GN_antibiotics_oshea","4421","CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O","389-08-2",232.23,TRUE
"Delafloxacin","GN_antibiotics_oshea","487101","C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O","189279-58-1",440.8,TRUE
"Ciprofloxacin","GN_antibiotics_oshea","2764","C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O","85721-33-1",331.34,TRUE
"Clinafloxacin","GN_antibiotics_oshea","60063","C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O","105956-97-6",365.8,TRUE
"Danofloxacin","GN_antibiotics_oshea","71335","CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F","112398-08-0",357.4,TRUE
"Difloxacin","GN_antibiotics_oshea","56206","CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F","98106-17-3",399.4,TRUE
"Dx-619","GN_antibiotics_oshea","9865774","COC1=C(C=CC2=C1N(C=C(C2=O)C(=O)O)[C@@H]3C[C@@H]3F)N4CC[C@H](C4)C5(CC5)N","431058-65-0",401.4,TRUE
