"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"Amphetamine","CC(N)CC1=CC=CC=C1","C9H13N","135.206","2","0.124666","0.701982","Primary Amine"
"Aniline","NC1=CC=CC=C1","C6H7N","93.1265","0","0.00261332","0.066263","No Amine"
"Atenolol","CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1","C14H22N2O3","266.336","8","0.0607817","0.956487","Secondary Amine"
"Atrazine","CCNC1=NC(NC(C)C)=NC(Cl)=N1","C8H14ClN5","215.683","4","0.105328","0.675624","No Amine"
"Bentazone","CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O","C10H12N2O3S","240.279","1","0.110839","0.616802","No Amine"
"Benzophenone","O=C(C1=CC=CC=C1)C1=CC=CC=C1","C13H10O","182.218","2","0.0768929","0.66081","No Amine"
"1H-Benzotriazole","N1N=NC2=CC=CC=C12","C6H5N3","119.124","0","2.2167e-10","2.14384e-05","No Amine"
"Benzoylecgonine","CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C1=CC=CC=C1)C(O)=O","C16H19NO4","289.326","4","0.147414","1.05331","Tertiary Amine"
"Caffeine","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","C8H10N4O2","194.191","0","0.0382736","0.223516","No Amine"
"Carbamazepine","NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12","C15H12N2O","236.269","0","0.198805","0.945777","No Amine"
"Carbamazepine-10,11-epoxide","NC(=O)N1C2=CC=CC=C2C2OC2C2=CC=CC=C12","C15H12N2O2","252.268","0","0.276841","1.07013","No Amine"
"Cetirizine","OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","C21H25ClN2O3","388.888","8","0.106252","1.00922","Tertiary Amine"
"Chlorantraniliprole","CNC(=O)C1=C(NC(=O)C2=CC(Br)=NN2C2=C(Cl)C=CC=N2)C(C)=CC(Cl)=C1","C18H14BrCl2N5O2","483.146","4","0.355054","1.40199","No Amine"
"Chloridazon-desphenyl","NC1=C(Cl)C(=O)NN=C1","C4H4ClN3O","145.547","0","0.00553091","0.0981024","No Amine"
"Citalopram","CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1","C20H21FN2O","324.392","5","0.184191","0.99305","Tertiary Amine"
"Clofibricacid","CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O","C10H11ClO3","214.646","3","0.131235","0.721086","No Amine"
